,Filename,Red-Green Overlap,Sample or Control,Tissue,Virus
0,Human/Human Trachea/HH3_NoLPS_100814_10.tif,60729.0,Human/Human Trachea/HH3,Human Trachea,Human
1,Human/Human Trachea/HH3_NoLPS_100814_6.tif,70239.0,Human/Human Trachea/HH3,Human Trachea,Human
2,Human/Human Trachea/HH3_NoLPS_100814_7.tif,72330.0,Human/Human Trachea/HH3,Human Trachea,Human
3,Human/Human Trachea/HH3_NoLPS_100814_8.tif,75778.0,Human/Human Trachea/HH3,Human Trachea,Human
4,Human/Human Trachea/HH3_NoLPS_100814_9.tif,89306.0,Human/Human Trachea/HH3,Human Trachea,Human
5,Human/Ferret Trachea/HH3_fer_trachea_100814_1.tif,4894.0,Human/Ferret Trachea/HH3,Ferret Trachea,Human
6,Human/Ferret Trachea/HH3_fer_trachea_100814_2.tif,2901.0,Human/Ferret Trachea/HH3,Ferret Trachea,Human
7,Human/Ferret Trachea/HH3_fer_trachea_100814_3.tif,665.0,Human/Ferret Trachea/HH3,Ferret Trachea,Human
8,Human/Ferret Trachea/HH3_fer_trachea_100814_4.tif,740.0,Human/Ferret Trachea/HH3,Ferret Trachea,Human
9,Negative/Ferret Trachea/Neg_fer_trachea_100814_1.tif,0.0,Negative/Ferret Trachea/Neg,Ferret Trachea,Negative
10,Negative/Ferret Trachea/Neg_fer_trachea_100814_2.tif,0.0,Negative/Ferret Trachea/Neg,Ferret Trachea,Negative
11,Negative/Ferret Trachea/Neg_fer_trachea_100814_3.tif,0.0,Negative/Ferret Trachea/Neg,Ferret Trachea,Negative
12,Negative/Ferret Trachea/Neg_fer_trachea_100814_5.tif,0.0,Negative/Ferret Trachea/Neg,Ferret Trachea,Negative
13,Negative/Ferret Trachea/Neg_fer_trachea_100814_6.tif,0.0,Negative/Ferret Trachea/Neg,Ferret Trachea,Negative
14,Seal/Ferret Trachea/SH3_fer_trachea_100814_1.tif,0.0,Seal/Ferret Trachea/SH3,Ferret Trachea,Seal
15,Seal/Ferret Trachea/SH3_fer_trachea_100814_3.tif,0.0,Seal/Ferret Trachea/SH3,Ferret Trachea,Seal
16,Seal/Ferret Trachea/SH3_fer_trachea_100814_4.tif,0.0,Seal/Ferret Trachea/SH3,Ferret Trachea,Seal
17,Seal/Ferret Trachea/SH3_fer_trachea_100814_5.tif,0.0,Seal/Ferret Trachea/SH3,Ferret Trachea,Seal
