,Filename,Red-Green Overlap,Sample or Control,Tissue
0,Human/Human Trachea/HH3_trachea_111313_1.tif,32535.0,Human/Human Trachea/HH3,Human Trachea
1,Human/Human Trachea/HH3_trachea_111313_3.tif,33763.0,Human/Human Trachea/HH3,Human Trachea
2,Human/Human Trachea/HH3_trachea_111313_4.tif,31316.0,Human/Human Trachea/HH3,Human Trachea
3,Human/Human Trachea/HH3_trachea_111313_5.tif,61602.0,Human/Human Trachea/HH3,Human Trachea
4,Human/Human Trachea/HH3_trachea_111313_6.tif,76707.0,Human/Human Trachea/HH3,Human Trachea
5,Human/Human Trachea/HH3_trachea_111313_7.tif,25862.0,Human/Human Trachea/HH3,Human Trachea
6,Negative/Human Trachea/Neg_trachea_111313_2.tif,0.0,Negative/Human Trachea/Neg,Human Trachea
7,Negative/Human Trachea/Neg_trachea_111313_3.tif,0.0,Negative/Human Trachea/Neg,Human Trachea
8,Negative/Human Trachea/Neg_trachea_111313_4.tif,0.0,Negative/Human Trachea/Neg,Human Trachea
9,Negative/Human Trachea/Neg_trachea_111313_5.tif,0.0,Negative/Human Trachea/Neg,Human Trachea
10,Negative/Human Trachea/Neg_trachea_111313_6.tif,0.0,Negative/Human Trachea/Neg,Human Trachea
11,Negative/Human Trachea/Neg_trachea_111313_7.tif,0.0,Negative/Human Trachea/Neg,Human Trachea
12,Negative/Human Trachea/Neg_trachea_111313_8.tif,0.0,Negative/Human Trachea/Neg,Human Trachea
13,Negative/Human Trachea/Neg_trachea_111313_9.tif,0.0,Negative/Human Trachea/Neg,Human Trachea
14,Seal/Human Trachea/SSH3_40_trachea_111313_1.tif,0.0,Seal/Human Trachea/SSH3,Human Trachea
15,Seal/Human Trachea/SSH3_40_trachea_111313_13.tif,0.0,Seal/Human Trachea/SSH3,Human Trachea
16,Seal/Human Trachea/SSH3_40_trachea_111313_14.tif,0.0,Seal/Human Trachea/SSH3,Human Trachea
17,Seal/Human Trachea/SSH3_40_trachea_111313_15.tif,0.0,Seal/Human Trachea/SSH3,Human Trachea
18,Seal/Human Trachea/SSH3_40_trachea_111313_16.tif,0.0,Seal/Human Trachea/SSH3,Human Trachea
19,Seal/Human Trachea/SSH3_40_trachea_111313_17.tif,0.0,Seal/Human Trachea/SSH3,Human Trachea
20,Seal/Human Trachea/SSH3_40_trachea_111313_2.tif,0.0,Seal/Human Trachea/SSH3,Human Trachea
21,Seal/Human Trachea/SSH3_40_trachea_111313_3.tif,0.0,Seal/Human Trachea/SSH3,Human Trachea
22,Seal/Human Trachea/SSH3_40_trachea_111313_4.tif,0.0,Seal/Human Trachea/SSH3,Human Trachea
23,Seal/Human Trachea/SSH3_40_trachea_111313_5.tif,2292.0,Seal/Human Trachea/SSH3,Human Trachea
24,Seal/Human Trachea/SSH3_40_trachea_111313_6.tif,0.0,Seal/Human Trachea/SSH3,Human Trachea
25,Seal/Human Trachea/SSH3_40_trachea_111313_7.tif,0.0,Seal/Human Trachea/SSH3,Human Trachea
26,Seal/Human Trachea/SSH3_40_trachea_111313_8.tif,0.0,Seal/Human Trachea/SSH3,Human Trachea
