,Filename,Red-Green Overlap,Sample or Control,Tissue,human,,
0,HH3_lung_111313_11.png,23626,HH3,lung,39335,,
7,HH3_lung_111313_11.png,30781,HH3,lung,,,
1,HH3_lung_111313_12.png,41035,HH3,lung,,,
8,HH3_lung_111313_12.png,54504,HH3,lung,,,
2,HH3_lung_111313_13.png,31948,HH3,lung,,,
9,HH3_lung_111313_13.png,44801,HH3,lung,,,
3,HH3_lung_111313_2.png,11079,HH3,lung,,,
10,HH3_lung_111313_2.png,21982,HH3,lung,,,
4,HH3_lung_111313_4.png,49023,HH3,lung,,,
11,HH3_lung_111313_4.png,57126,HH3,lung,,,
5,HH3_lung_111313_5.png,48535,HH3,lung,,,
12,HH3_lung_111313_5.png,57580,HH3,lung,,,
6,Neg_lung_111313_4.png,392256,Neg,lung,,,
13,Neg_lung_111313_4.png,0,Neg,lung,,,
14,Neg_lung_111313_5.png,0,Neg,lung,,,
15,Neg_lung_111313_6.png,0,Neg,lung,seal,,human/seal
16,SH3_20_lung_111313_13.png,133937,SH3,lung,98409.625,,0.399706838
17,SH3_20_lung_111313_14.png,125912,SH3,lung,,,
18,SH3_20_lung_111313_15.png,119032,SH3,lung,,,
19,SH3_20_lung_111313_26.png,66606,SH3,lung,,,
20,SH3_20_lung_111313_27.png,67782,SH3,lung,,,
21,SH3_20_lung_111313_28.png,88757,SH3,lung,,,
22,SH3_20_lung_111313_29.png,101488,SH3,lung,,,
23,SH3_20_lung_111313_30.png,83763,SH3,lung,,,
