,Filename,Red-Green Overlap,Sample or Control,Tissue
0,Human/Human Trachea/HH3_NoLPS_100814_10.tif,100702.0,Human/Human Trachea/HH3,Human Trachea
1,Human/Human Trachea/HH3_NoLPS_100814_6.tif,125314.0,Human/Human Trachea/HH3,Human Trachea
2,Human/Human Trachea/HH3_NoLPS_100814_7.tif,120059.0,Human/Human Trachea/HH3,Human Trachea
3,Human/Human Trachea/HH3_NoLPS_100814_8.tif,111573.0,Human/Human Trachea/HH3,Human Trachea
4,Human/Human Trachea/HH3_NoLPS_100814_9.tif,126993.0,Human/Human Trachea/HH3,Human Trachea
5,Human/Ferret Trachea/HH3_fer_trachea_100814_1.tif,25547.0,Human/Ferret Trachea/HH3,Human Trachea
6,Human/Ferret Trachea/HH3_fer_trachea_100814_2.tif,37489.0,Human/Ferret Trachea/HH3,Human Trachea
7,Human/Ferret Trachea/HH3_fer_trachea_100814_3.tif,0.0,Human/Ferret Trachea/HH3,Human Trachea
8,Human/Ferret Trachea/HH3_fer_trachea_100814_4.tif,53724.0,Human/Ferret Trachea/HH3,Human Trachea
9,Negative/Ferret Trachea/Neg_fer_trachea_100814_1.tif,0.0,Negative/Ferret Trachea/Neg,Human Trachea
10,Negative/Ferret Trachea/Neg_fer_trachea_100814_2.tif,0.0,Negative/Ferret Trachea/Neg,Human Trachea
11,Negative/Ferret Trachea/Neg_fer_trachea_100814_3.tif,0.0,Negative/Ferret Trachea/Neg,Human Trachea
12,Negative/Ferret Trachea/Neg_fer_trachea_100814_5.tif,0.0,Negative/Ferret Trachea/Neg,Human Trachea
13,Negative/Ferret Trachea/Neg_fer_trachea_100814_6.tif,0.0,Negative/Ferret Trachea/Neg,Human Trachea
14,Seal/Ferret Trachea/SH3_fer_trachea_100814_1.tif,2924.0,Seal/Ferret Trachea/SH3,Human Trachea
15,Seal/Ferret Trachea/SH3_fer_trachea_100814_3.tif,21392.0,Seal/Ferret Trachea/SH3,Human Trachea
16,Seal/Ferret Trachea/SH3_fer_trachea_100814_4.tif,18826.0,Seal/Ferret Trachea/SH3,Human Trachea
17,Seal/Ferret Trachea/SH3_fer_trachea_100814_5.tif,0.0,Seal/Ferret Trachea/SH3,Human Trachea
